state,year,cigsale,lnincome,beer,age15to24,retprice
Minnesota,1991,86.199997,10.03139,22.700001,,173.89999
Minnesota,1992,83.800003,10.06335,22,,197.7
Minnesota,1993,81.599998,10.05818,21.9,,215.60001
Minnesota,1994,83.400002,10.09502,22.5,,196.10001
Minnesota,1995,84.099998,10.14878,22.1,,202.2
Minnesota,1996,81.699997,10.18895,22.4,,208.60001
Minnesota,1997,84.099998,10.17544,22.200001,,216.8
Minnesota,1998,83.199997,,,,220.2
Minnesota,1999,80.699997,,,,227.39999
Minnesota,2000,76,,,,303.60001
Mississippi,1970,93.400002,,,.1831304,36.200001
Mississippi,1971,105.4,,,.1843731,37.5
Mississippi,1972,112.1,9.3974485,,.1856157,37.400002
Mississippi,1973,115,9.4570627,,.1868584,37.299999
Mississippi,1974,117.1,9.4363928,,.1881011,41.400002
Mississippi,1975,116.8,9.4136028,,.1893438,43
Mississippi,1976,120.9,9.4779911,,.19058651,46.400002
Mississippi,1977,122.1,9.5163717,,.1918292,48.799999
Mississippi,1978,124.9,9.5403347,,.1930719,53.599998
Mississippi,1979,123.9,9.5529699,,.1943146,56.5
Mississippi,1980,127,9.5035429,,.1955573,59.700001
